Delta Energy,Theta Energy,Alpha Energy,Beta Energy,Delta Relative Power,Theta Relative Power,Alpha Relative Power,Beta Relative Power,Beta-Theta Ratio,Slow-Fast Ratio,Beta-Delta Theta Ratio,Spectral Slope,Entropy,SEF95,Hjorth Mobility,Hjorth Complexity,Mean,Standard Deviation,Variance,Alpha-Beta Ratio,Delta-Theta Ratio,Delta-Alpha Ratio,Delta-Beta Ratio,Theta-Alpha Ratio,Theta-Beta Ratio,Peak Frequency,Spectral Centroid
2743.729256391933,2.084468343350277,0.05012373352218867,0.004794120409100794,0.9992208708879591,0.0007591289368397205,1.8254235743383753e-05,1.745939457824968e-06,0.0022999247862864683,572311.294306135,1.745974377618417e-06,-5.856865142905125,0.21549756026591108,2.0,0.0,0.0,255.5,147.80138700296422,21845.25,10.45525127550772,1316.2729312463698,54739.12383596375,572311.294306135,41.58645409818741,434.79682725391723,1.0,1.0549940252668852
2.140148902003117,0.2723059640547145,1.5983873901805081,0.346259844052343,0.4911863097861163,0.06249703536590243,0.3668464390756123,0.07947021577236908,1.2715837688474898,6.180759735106903,0.14353008171222817,-6.768660908023254,2.248987620920267,14.0,0.08258506252432017,2.8833263120472106,1.6159283637605641,3.5390181511097274,12.524649473884114,4.616150031936377,7.859353758308049,1.3389425587006332,6.180759735106903,0.17036293312096426,0.7864208591671141,1.0,4.621823036191138
1.1697988687092695,0.2002685628633107,1.1131190587834434,0.9165540898675683,0.34408474444021697,0.058907013090433974,0.32741294005151317,0.2695953024178359,4.576624891911488,1.276300964276197,0.6689846563358828,-6.6991327618429395,2.693857271082603,24.0,0.12289081859780489,1.9351528059579466,-0.38633937433757076,2.112363034863828,4.4620775910591215,1.2144608497074914,5.841150762677077,1.0509198090523875,1.276300964276197,0.17991656982514467,0.2185016302663024,2.0,8.92825422415248
0.7164491025849626,2.5652916754018653,0.43538613784855884,1.7244722392243428,0.13166149916036926,0.4714223893203518,0.08001069638577225,0.3169054151335067,0.6722324232211122,0.4154599223396122,0.5254748488337991,-7.134617915790541,2.828077629366545,30.0,0.1708995161584209,1.7345979156521194,-0.20940676371690367,2.6274975947600248,6.903743610469716,0.25247500536418777,0.2792856303456126,1.6455487217054356,0.4154599223396122,5.891992078751381,1.4875807316885066,4.0,9.5425900902505
0.2769350357424965,1.153331148620083,0.5169844618436641,2.6640599167338532,0.06005560284057884,0.2501091897581363,0.11211226283446049,0.5777229445668244,2.3098829160395953,0.10395225497856664,1.8626322469625702,-7.121113909931918,3.0114815275524576,30.0,0.18384461752581135,1.6517349873875142,-0.49929060149578286,2.731906424965621,7.46331271476844,0.19405887179800702,0.24011753785878304,0.5356738087541237,0.10395225497856664,2.2308816487580434,0.43292237587286364,14.0,13.256009704211259
3.1424300708494695,1.738458488370174,0.2823145882540041,1.464011490826039,0.4741705591801547,0.2623211384045654,0.0425992824530633,0.2209090199622165,0.842131981073973,2.146451780290615,0.29994773965093463,-7.188805005371136,2.3744171922720607,21.0,0.11244815150359228,2.497311196198945,0.7080538907678186,3.566508590271106,12.719983524477591,0.19283631994904202,1.8075956900158923,11.130951787805461,2.146451780290615,6.157876924185186,1.1874623247589973,1.0,5.990926837947983
5.3204686175133915,0.7333093342102893,0.7114989086163848,1.7944833974656167,0.6215674805449877,0.0856693776606163,0.08312135938241563,0.20964178241198048,2.4471028988034362,2.9649026706112696,0.29642372280183765,-7.207397714515079,2.2863794658016365,24.0,0.11602932147012074,2.6333733005836937,0.0851744933015568,3.7973389535444735,14.419783128106236,0.3964923329027442,7.255421919922887,7.477831031195582,2.9649026706112696,1.0306541940258462,0.4086464858053054,1.0,6.270325161040715
0.9172870839459272,1.1087519085411595,0.32820475419511785,2.2017185025150745,0.20133772708664238,0.2433628392633218,0.07203851486103614,0.4832609187889997,1.9857629876930594,0.4166232344861928,1.0867108237696506,-7.161399056328221,3.1267050907076763,32.0,0.2114009821951277,1.5551351019995783,-0.8729562268831516,2.214185729437032,4.902618444442602,0.1490675369354447,0.8273149988556483,2.7948622688158857,0.4166232344861928,3.3782323210406817,0.5035847712932449,1.0,13.829748012653337
0.9483230540636818,1.2883215160301396,0.504465225789186,1.9449900052745768,0.20236936776921016,0.27492404573028767,0.10765140462108178,0.41505518187942037,1.5097085479623977,0.48757219908171495,0.8696017379252126,-7.245872953589645,3.1470367605181684,29.0,0.1962082703656445,1.6022163928190083,0.7184673823204757,2.1952948652248927,4.819319545282779,0.2593664874478211,0.736091916702489,1.879858126157505,0.48757219908171495,2.553836122231593,0.6623795045405725,4.0,10.987701147246534
1.2715451819931736,0.29740967470544627,0.19345469320333744,0.929910489213528,0.47228604457103013,0.11046594401279093,0.07185427081205903,0.34539374060412,3.126698854482487,1.3673844921015819,0.5926942290552815,-6.815172257498379,2.492636199464596,27.0,0.14019784335313887,2.1084895590755837,0.23521931609092245,2.5340772761935098,6.421547641720318,0.20803582220795444,4.275399525091133,6.572831917066343,1.3673844921015819,1.537360866158172,0.3198261318215483,1.0,6.83303521702038
1.5850666630225836,0.5579196241211424,0.8546603791055519,1.7323235457375694,0.33511134150605326,0.11795415174227608,0.18069043583818842,0.3662440709134822,3.104969731915051,0.9149945845409101,0.808368936437056,-7.156100117658281,3.0094371797831934,25.0,0.1481562427914013,1.8906927269378118,-0.5513346736486275,2.735137636035705,7.480977888058984,0.49336071267314224,2.841030489865713,1.8546158237514663,0.9149945845409101,0.6527968743619954,0.3220643311660338,3.0,9.624939086907366
