Delta Energy,Theta Energy,Alpha Energy,Beta Energy,Delta Relative Power,Theta Relative Power,Alpha Relative Power,Beta Relative Power,Beta-Theta Ratio,Slow-Fast Ratio,Beta-Delta Theta Ratio,Spectral Slope,Entropy,SEF95,Hjorth Mobility,Hjorth Complexity,Mean,Standard Deviation,Variance,Alpha-Beta Ratio,Delta-Theta Ratio,Delta-Alpha Ratio,Delta-Beta Ratio,Theta-Alpha Ratio,Theta-Beta Ratio,Peak Frequency,Spectral Centroid,label
33.95830027,11.75996784,3.358646297,2.383452562,0.659892307,0.228524757,0.06526666,0.046316276,0.202675092,14.24752513,0.052133483,-7.501312101,2.154760626,12,0.080156081,2.98845581,1.029154915,6.222576133,38.72045374,1.409151728,2.887618464,10.11071047,14.24752513,3.5014011,4.934005411,2,3.473821848,1
12.31258541,4.851752324,2.050165145,2.588508666,0.564719483,0.222526705,0.094031283,0.118722529,0.533520364,4.756632873,0.150807372,-7.373425904,2.307987639,21,0.095541354,2.806642088,-0.02582749,5.328017784,28.38777351,0.792025606,2.537760502,6.005655418,4.756632873,2.366517807,1.874342701,1,4.917866127,1
5.235601373,1.296629579,0.742572018,2.095771922,0.558727872,0.138372469,0.079245087,0.223654573,1.616322777,2.498173259,0.320835552,-7.251487757,2.511071416,27,0.111220911,2.441691316,-0.501923416,4.784879257,22.8950695,0.354319098,4.037854338,7.050631112,2.498173259,1.7461331,0.618688306,2,7.451829189,1
3.782349909,0.985574772,0.795632126,1.944160794,0.503794909,0.131274886,0.105975234,0.258954971,1.972616232,1.945492328,0.407758286,-7.169753272,2.6480772,25,0.15572262,1.859518644,0.327371993,2.950504784,8.705478478,0.409241935,3.837709747,4.753892892,1.945492328,1.238731745,0.506940977,2,7.505053966,1
0.708427931,1.094686956,0.229605658,1.982228741,0.176447542,0.272652748,0.057187686,0.493712025,1.81077223,0.357389597,1.099335797,-7.084682313,2.997489467,30,0.181389028,1.646811951,-0.532808611,2.606941902,6.796146079,0.11583207,0.647151158,3.085411465,0.357389597,4.767682834,0.552250572,1,12.21402443,1
3.492284086,1.98138473,0.696921473,2.903186257,0.38487658,0.218363844,0.076806109,0.319953466,1.465230963,1.202914239,0.530391289,-7.345185097,2.763738566,28,0.126037598,2.297628023,0.306826123,4.423427823,19.5667137,0.240054,1.762547188,5.011015185,1.202914239,2.843053065,0.68248626,3,8.840301665,1
8.279363313,3.006574069,0.963689935,2.134181864,0.575602972,0.209024886,0.066998242,0.1483739,0.709838446,3.879408523,0.189100984,-7.407521872,2.463910361,26,0.112404571,2.570131016,-0.008966346,4.468999689,19.97195822,0.451550054,2.753753317,8.591314501,3.879408523,3.119856252,1.408771258,2,5.705549949,1
6.33404189,2.279906532,0.308935537,0.874240199,0.646520529,0.232711814,0.031533288,0.08923437,0.383454403,7.245196338,0.101491228,-7.167109585,2.023533759,21,0.086315051,3.151533034,-0.075017672,4.387870301,19.25340578,0.353376038,2.77820244,20.50279467,7.245196338,7.379877858,2.607871995,1,4.25564701,1
19.18943724,4.462226241,0.873391608,2.389295389,0.712981621,0.16579357,0.032450778,0.088774031,0.535449182,8.031421033,0.101020184,-7.406889993,2.080952617,19,0.097868849,2.812125735,0.502086319,4.651121496,21.63293117,0.365543588,4.300417818,21.97117199,8.031421033,5.109078446,1.867590865,2,3.991703957,1
0.699693517,0.456858023,0.214497328,1.873233677,0.215669723,0.140819431,0.066115489,0.577395357,4.100253433,0.373521747,1.619671595,-7.08549342,3.099755469,30,0.145756338,1.988928173,-0.102078707,3.031254431,9.188503424,0.114506444,1.531533827,3.262015074,0.373521747,2.129900768,0.243887364,1,11.50221171,1
4.233400985,0.503812735,0.450525501,2.044223451,0.585373733,0.069664731,0.062296436,0.2826651,4.057506508,2.070909118,0.43152443,-7.150081321,2.356558098,26,0.143561229,2.010170837,-0.966323183,2.83936733,8.062006835,0.220389557,8.402727225,9.396584591,2.070909118,1.118277952,0.246456783,1,7.22326448,1
20.39934228,6.075067299,1.952422369,1.382648062,0.684323989,0.203796487,0.065496693,0.046382831,0.227593867,14.7538212,0.052225832,-7.42912877,2.122696802,11,0.082559289,3.270417487,0.118877378,4.977049451,24.77102123,1.412089181,3.357879226,10.44822196,14.7538212,3.111553829,4.393791499,1,3.302870137,1
1.588242651,1.284359126,0.460565783,0.725074342,0.391362242,0.316481658,0.113488992,0.178667108,0.564541745,2.190454907,0.252410323,-6.997437395,2.482452927,24,0.067721595,3.984000385,-0.075332083,5.005987413,25.05990998,0.635198014,1.236603235,3.44845994,2.190454907,2.788655116,1.771348193,1,5.276956537,1
13.41184144,2.121942906,1.344732482,3.425949912,0.660536502,0.104506212,0.066228407,0.168728879,1.614534445,3.914780364,0.220548312,-7.413794542,2.068947406,18,0.094536625,2.804950427,0.174507864,4.541719549,20.62721646,0.39251376,6.320547742,9.973613056,3.914780364,1.577966572,0.619373593,1,4.486742558,1
1.633632761,0.650569474,0.5669814,2.538843996,0.303084302,0.120698727,0.105190815,0.471026156,3.902494809,0.643455353,1.111479517,-7.130274873,2.679244338,25,0.120146187,2.215775329,1.029484182,4.129649385,17.05400404,0.223322662,2.511081176,2.881281044,0.643455353,1.147426484,0.256246337,1,9.394995253,1
0.311470415,2.214176902,1.319358313,2.346285325,0.05030783,0.357627661,0.213099065,0.378965444,1.059664801,0.132750443,0.928983754,-7.145269912,3.0379679,26,0.142903025,1.927176833,-1.615798444,4.109939665,16.89160405,0.562317933,0.140670971,0.236077199,0.132750443,1.678222572,0.943694647,5,11.10120349,1
13.31752017,6.98958585,3.033835572,4.237384929,0.482898053,0.253444887,0.110007965,0.153649096,0.606242633,3.142862968,0.208665131,-7.391049031,2.434614515,25,0.109059158,2.451632681,0.787047753,5.407991986,29.24637732,0.71596884,1.905337521,4.389664456,3.142862968,2.303877611,1.649504581,2,6.138829441,1
4.530889403,5.111373047,1.031087581,2.213955229,0.35157772,0.396620779,0.080008005,0.171793496,0.433142956,2.046513562,0.229609518,-7.259898898,2.473774139,25,0.096264614,2.814638086,1.002614438,4.544408208,20.65164596,0.465721966,0.886432933,4.394281809,2.046513562,4.957263707,2.308706599,3,6.366508834,1
3.117878541,3.572229913,0.210672371,1.600421732,0.366757352,0.420202894,0.024781479,0.188258275,0.448017561,1.948160587,0.239222091,-7.093909538,2.459055546,26,0.155685817,1.821369687,-2.0917891,3.257187194,10.60926842,0.131635535,0.872810154,14.79965566,1.948160587,16.95632846,2.232055365,2,7.335230799,1
16.66798901,1.765493731,0.873489133,3.829466425,0.720421562,0.076307931,0.037753829,0.165516679,2.169062601,4.352561732,0.207745138,-7.253791953,1.895872836,24,0.10601668,2.611387333,0.639742336,5.139659363,26.41609837,0.228096825,9.440978872,19.08207944,4.352561732,2.021197134,0.461028649,1,4.720325381,1
3.924930162,0.548057644,1.372389658,1.930330039,0.504768236,0.070483315,0.176497079,0.24825137,3.522129578,2.033294868,0.431552717,-7.12293888,2.186259427,28,0.097080534,2.785003272,1.322032509,4.424296685,19.57440115,0.710961147,7.161527997,2.85992403,2.033294868,0.399345507,0.28391914,1,6.800684127,1
2.072614312,1.024372614,0.776788869,1.650276526,0.375198168,0.185438616,0.14061939,0.298743826,1.611011953,1.255919404,0.53286519,-7.093421842,2.898197167,24,0.157881817,1.751603081,-1.369174577,2.641454274,6.977280679,0.470702247,2.023301172,2.668182302,1.255919404,1.318727206,0.620727859,2,8.709508531,1
7.76793781,1.21357763,0.319000095,2.197013101,0.675618044,0.105551173,0.027745101,0.191085682,1.810360579,3.535681152,0.244614967,-7.03765168,2.047680943,23,0.116493921,2.334595436,-0.047670559,3.317935316,11.00869476,0.145197175,6.400857776,24.35089494,3.535681152,3.804317451,0.552376146,2,5.436091261,1
