Delta Energy,Theta Energy,Alpha Energy,Beta Energy,Delta Relative Power,Theta Relative Power,Alpha Relative Power,Beta Relative Power,Beta-Theta Ratio,Slow-Fast Ratio,Beta-Delta Theta Ratio,Spectral Slope,Entropy,SEF95,Hjorth Mobility,Hjorth Complexity,Mean,Standard Deviation,Variance,Alpha-Beta Ratio,Delta-Theta Ratio,Delta-Alpha Ratio,Delta-Beta Ratio,Theta-Alpha Ratio,Theta-Beta Ratio,Peak Frequency,Spectral Centroid
2743.729256391933,2.084468343350277,0.05012373352218867,0.004794120409100794,0.9992208708879591,0.0007591289368397205,1.8254235743383753e-05,1.745939457824968e-06,0.0022999247862864683,572311.294306135,1.745974377618417e-06,-5.856865142905125,0.21549756026591108,2.0,0.0,0.0,255.5,147.80138700296422,21845.25,10.45525127550772,1316.2729312463698,54739.12383596375,572311.294306135,41.58645409818741,434.79682725391723,1.0,1.0549940252668852
3.791734242887765,1.6507138249587654,0.9201219407618126,0.4312633786417788,0.558114105359671,0.2429723737494996,0.1354348698760542,0.06347865101477523,0.26125871857440325,8.792154471426382,0.0792406970660211,-6.842964484113632,2.247523211304954,13.0,0.08658498886672038,2.491906138355311,-1.3035383493566552,3.1277694483720953,9.782941722169882,2.133549905534862,2.2970270107130664,4.120904061638187,8.792154471426382,1.79401637090847,3.827623458679762,1.0,4.25161773719659
0.29208238887257065,0.6672238939028814,0.2501662669767246,0.7560332362171285,0.14860418674805775,0.3394667666032001,0.12727831622909883,0.3846507304196434,1.133102760746116,0.386335381674525,0.7881041225225621,-6.634408118049047,3.007459830356584,24.0,0.13054842382840348,1.9731779869618444,0.17370187488979144,1.937472612365787,3.7538001236675074,0.33089321341010236,0.4377576875493087,1.1675530534248484,0.386335381674525,2.667121758526139,0.8825324892347173,5.0,10.152529442650298
0.8262111210985816,1.193151505459468,0.7983689005525686,0.7755497534128315,0.22993221420679422,0.33205068357066,0.22218380311052816,0.21583329911201765,0.650001068484741,1.0653231690975506,0.38405670344347,-6.729340101632021,2.8232143955186895,21.0,0.12911542210294705,1.919273637935982,-0.10833476512281506,2.0498958308516175,4.202072917342843,1.0294231892142582,0.6924611981949584,1.0348738791387575,1.0653231690975506,1.4944864518566061,1.5384590095077286,5.0,7.684379800819463
4.659042049334037,7.05920927534751,0.6586069631469488,1.4301570606577623,0.3374402020813886,0.511276991962021,0.04770089309846068,0.10358191285812965,0.20259451234180312,3.2577135599297296,0.12204526264473407,-7.022667555208533,2.405546003391087,14.0,0.07946350077740644,2.580467482139582,0.025647640051743047,4.101761479027922,16.82444723083733,0.46051373045981414,0.659994890023243,7.074085623195132,3.2577135599297296,10.718394536275888,4.935967852440498,4.0,4.676609911895469
6.098147577374899,4.08351342928726,1.2017858382172002,1.0460095328446462,0.4906206186381539,0.3285351591567357,0.09668852777592377,0.08415569442918662,0.2561543021611215,5.829915871599039,0.10273466501784055,-6.950817596463545,2.4051802470282855,14.0,0.07854524202124111,2.664348061823204,0.19312809740196962,4.18431274682941,17.50847316327908,1.1489243649136895,1.4933580317474981,5.074238174100345,5.829915871599039,3.3978711509406567,3.9038969541530415,1.0,3.980918865984764
4.123723627956142,0.37040845711336906,0.32840367300040535,0.7611537241023464,0.7385302569425585,0.06633758168250904,0.05881481662777639,0.1363173447471562,2.054903740681558,5.417727716985666,0.1693661222443963,-6.773445344142375,2.0270955059998097,19.0,0.11601283576536203,2.026248426644919,0.12164129378270153,2.4232033694189585,5.871914569563394,0.43145512214067216,11.132908951628,12.556874258684227,5.417727716985666,1.1279059510181297,0.48664079985971814,2.0,4.9453971258616285
0.34206518865846836,0.41481359327449785,0.345641118926761,0.8929070760185138,0.1714245585642099,0.20788212151138485,0.17321662127045187,0.44747669865395334,2.1525501827700313,0.38309158684657557,1.1797226944823975,-6.556502219298539,2.8138180068621623,22.0,0.1295948307381727,1.7693299609502056,0.31855605938716647,2.0868903284264526,4.355111242879866,0.387096404777057,0.8246238652842577,0.9896542104730011,0.38309158684657557,1.200128024589557,0.464565243590809,4.0,9.760917793593821
1.884080949444984,1.1690266146016532,1.0268325557507123,0.7961690589650807,0.38639023048355303,0.23974578331700838,0.21058440615378615,0.16327958004565243,0.6810529794793218,2.3664332697053707,0.26077334069089453,-6.896938496794752,2.715297950204887,22.0,0.10981273306053915,2.2317313802567087,0.35334361007379367,2.3156559442931415,5.362262452340161,1.2897167306218418,1.611666429071836,1.834847306791458,2.3664332697053707,1.1384783313059095,1.4683145513356677,2.0,6.73810531008579
2.3146243479307467,1.3339879181762913,0.2346165911797139,0.7822039889497661,0.4961221014675826,0.28593015099389635,0.050288279547089164,0.1676594679914318,0.5863651224211425,2.959105783950936,0.21438397174067356,-6.811551265125514,2.176386375911084,20.0,0.09241571903375176,2.7073278165020356,-0.8619962043958326,2.810776314650194,7.9004634909985265,0.2999429745873889,1.7351164252635014,9.865561238837403,2.959105783950936,5.685820902386525,1.705422034432966,3.0,4.747160981852959
2.8768163265438673,0.4390993240935983,0.38671054227084584,0.4844129421266318,0.687076531592977,0.1048710819107101,0.09235895099118019,0.11569343550513268,1.1031967382928023,5.938768510011919,0.146087232958868,-6.618651533491984,2.269047912086819,19.0,0.09971569164216353,2.4734070748165355,-0.9495763674201141,2.5706361747744033,6.608170343058777,0.7983076186468914,6.5516300497211555,7.439198087671971,5.938768510011919,1.135472856558589,0.9064566321574705,2.0,4.808337859630211
